feature,rho,p_value,abs_rho,target
texture3d_mean_corrm,0.6125830940173623,1.3277549295469537e-84,0.6125830940173623,FLU_vs_SHG
texture3d_mean_autoc,-0.6099431730791977,1.0691437564118796e-83,0.6099431730791977,FLU_vs_SHG
texture3d_median_sosvh,-0.5480319944769962,1.1032002259832445e-64,0.5480319944769962,FLU_vs_SHG
texture3d_mean_sosvh,-0.5409356397555728,9.452157510043294e-63,0.5409356397555728,FLU_vs_SHG
texture3d_std_svarh,0.5157507940054817,2.9899816568063747e-56,0.5157507940054817,FLU_vs_SHG
texture3d_mean_entro,0.4614634598330632,5.851545026056696e-44,0.4614634598330632,FLU_vs_SHG
texture3d_mean_senth,0.4605236479790766,9.145439071516273e-44,0.4605236479790766,FLU_vs_SHG
texture3d_median_entro,0.4574983373228731,3.814180285403977e-43,0.4574983373228731,FLU_vs_SHG
texture3d_mean_denth,0.4501223594827077,1.168559652054629e-41,0.4501223594827077,FLU_vs_SHG
texture3d_median_senth,0.4449323025465334,1.2354232376034922e-40,0.4449323025465334,FLU_vs_SHG
texture_mean_glcmvariancemean.,-0.44462076424757246,1.4214490982275995e-40,0.44462076424757246,FLU_vs_SHG
texture_median_glcmvariancemean.,-0.44242435002701946,3.805487995206143e-40,0.44242435002701946,FLU_vs_SHG
texture3d_mean_inf1h,-0.4398266678238654,1.2083665511518197e-39,0.4398266678238654,FLU_vs_SHG
texture_std_contrastmean.,-0.42195968291436686,2.6177922464675727e-36,0.42195968291436686,FLU_vs_SHG
texture3d_median_inf2h,0.41178018032001096,1.701248677336385e-34,0.41178018032001096,FLU_vs_SHG
texture3d_mean_dissi,0.41014339679514167,3.2845860258121603e-34,0.41014339679514167,FLU_vs_SHG
texture_mean_contrastmean.,-0.40756683395949295,9.184150010233335e-34,0.40756683395949295,FLU_vs_SHG
texture3d_std_energ,-0.40580336677279893,1.8468483611089592e-33,0.40580336677279893,FLU_vs_SHG
